user_id_hash,purchase_timestamp,purchased_artwork_ids_hash
faaecc910173fcca8b146c66db26b99f,1416,['f196009db1ba9607150abf0570e0fffe']
90d6d470c21861aaa739b2811ac0df3c,1418,['ccccb1b02d3130e435e05a4eea7d11fd']
67c7793eefa4aca1cd9a18029b26efc6,1420,['7bbc45a178aef2c041f4376ecdc26b23']
8c872e88b91f7077527d8c7bf8892fbd,1424,['5775ae42d3cef7ea7f56b800a8d7cffc']
0df5dbca3f2feb725c6a5d410d7b8617,1427,['33a6be0dba2afaae343967d2a6a80964']
e1e1a69aa5871973082028492101f119,1428,['b6fc99a3b0e095c4527950607d09c5a4']
bc3fa64cc02d8f346493cfefa069158e,1429,['96e2f95e86c78832f8c583ea3af06bd1']
2be06b39d2e36e9d2ffdd9d6bb385394,1434,"['177b12400a83662fcce831d825bd2cb9', 'ec08fac875c5ef41a167a4487aeb45be', '0e8ff15ad902999f761b1d5ff4a27493']"
e1c9e3dc50c523c84be882babcd3f993,1435,['800ff04f2fcbc8d2891b48feb88ce447']
2fc72106bd7383a525088f04f81ad6ba,1436,['69021a9e441baf366e5b5462b6a751ab']
7ad6745f3bbd4381a711599703623c88,1439,['b512e5ecc5cc4616731ce60e00bb731e']
28fb0755bfcccc3e88fdc402c31699ea,1444,['2cb685f66025c38cc46f0efb668393a5']
dd009c62d40d944b357a5fb800cb0d47,1445,"['60eea0b8582afa797ed0dfced8feedbc', '80081e43121ee3135e6f4268654a9b4c']"
97b4a760b728bcc465e3d7456b0c6a9a,1448,['20d0fe19c82d11417c5e9900a2987710']
f238bfe63b3a1fdcb04ecb6a29791267,1449,['c8db687f4cc42ae83dfb3519a18cf0dd']
97b4a760b728bcc465e3d7456b0c6a9a,1450,['7a48b7d1c5c60047b2f39f966155873b']
8978960088332a2535ecb53b3cd2c318,1451,"['48a15ae11b45c34a5f5fc4f0238f4993', 'd475a059a463ec6f3a38e0c232b11e86']"
7bb28a045dbb40033853fdcb9e45653e,1455,['cde6ef8de0538e953d3b3abf36e97980']
374ca9fe2d34c230a06905103bfd8340,1457,['426d6b846d0d41aa982cae1dd9672936']
bc3fa64cc02d8f346493cfefa069158e,1460,"['038c496d2f4f7aad5cd384fb96e80cd8', '6b45dad03e81e18c3fce0c6f3b17a3da']"
ca5a7d4d583f02b241a8d8a8e6f6321b,1464,['160df3d6cc21db31199408e5582ab493']
223411a8bfd5c49b5fe350e52bcc35cb,1467,['927414d5af4ad664c9dfc34229a7724e']
6e630d2e21c968c77cd0ded3a518a6d9,1469,['07383a77315d97d8b46bc78f95eae1fd']
9b11aa5428f8ab80bc72a896c60a2a7d,1470,['5f4d3530ea4705e7922fa7244717170b']
4d37075fad8f1357116397852f4c6577,1475,['9ced431470f91eb222114cc485b2677f']
4da3d3107e11c9e3d7fc8ee7c7264716,1476,['ee387201a17b3e68daf7a60332a55937']
374ca9fe2d34c230a06905103bfd8340,1477,['941e2d3f338a3b96b371c3c0b7d7b467']
909d6dba1e147dfc732821d1b1612663,1479,['d4c08571a3ca853751f14c6fe55140c4']
93819aa53e0c8c72b14850446fa7ba93,1480,"['9168c6eb9892f487d13c84c2f1469225', '7baf91cdceabad82a6a8e1ba98a6bf7d']"
967ea1ca3f05abbbde371ac925ea87c4,1481,['3dd98de0187a3033cfa6431a53d9ff57']
485c16ebcf7abc45e7ffaf3ab991b364,1482,['3bb259e9b30d8d4b6eb7f1ee3158e4b7']
22acb12aa63a15a66b51cf7d6f7b34f1,1484,['be02d020ad3b07bcc965d0612bc653af']
3435ad0a61a876c3cf8060292958d0a8,1485,"['70e0699ee8b7c9315769b34733507f92', '3b9ff67d6309125b55aad07db9951f10']"
884a0063466f4a5043dc6c1da77ddef7,1486,['b6ba14d73ed99104e91f7d6e65a5d7fc']
8978960088332a2535ecb53b3cd2c318,1487,"['2d6f4f9c637fbf7c7711fc81c3a0af0b', 'c0e56fd8c82144b7e3f3bd7812681c65', 'c10fa0036284460babfb974af7462e43', 'aa1e0c549811b7f1556e8641ccd9d417']"
451323ef62f74c7e14af5594534c1bfc,1489,['eab0e81e3998dae15f26e410982bd980']
3e95ff83017bf16f03d69882a4481201,1490,['266b22b4d554beec251175e8b2d2baad']
f1207fcbc1dc2a5eb8b5a605146b2ec6,1492,['80a8fba5ad558e558033554328f521b1']
b0ca882148da9ad8c71491f09af09b28,1493,['fda600be84b691c8aad6bfcafaa70020']
0535edb59f8f229eec1c278fd56cbb9c,1494,['d3471c4e4c0297e404c4f97e75dd38f0']
45bc48494a3616ecbd10d00c9db3246d,1495,['1613bdf8172754851043b0efe2e091bd']
5e10bceccb6594be0fe2fe61ef02adaa,1497,['fbc8721e905088f8b8feaffa87c8d6c2']
187515ba4c58de333e624d0aa71b9e08,1498,['c5f7fa275c4ffe463535aa4c4442317d']
34a46297c78995acc5dcf8000a6ccca3,1499,['6bd988d13801d4f60200c92462a13123']
59873456b23ae95dee0abdc882710bed,1501,['f2ecdce2627d1586c9c406d1b1f9c740']
75e0b8270c8c446b0afaebda9550a371,1502,['d1ac41a302e6abec9fdf5c121fc0031c']
2f90decf11a5bfea427f5988e461e361,1503,['d75662c10e2cd747ea43dca3223560ca']
a855a8d763c693e70a34e154f35263b6,1505,['ac5e4c3d1670e670bfa941b19cf7a329']
37a289a5b503660f27405a7b758827a4,1513,['9bd604dee508e9604b94e7d3980cd46f']
6c3dd45202fed3dc41c57831e7ee55ab,1519,"['fdfd0e3cfbe29ecd3367ce5ff7b8789d', '9c5252593c91415e9fed909e535e4be4', '0f65cab0f0821e0ff0c5199fb8f3ec94']"
3acf8e2a5b2317989f9e864b73c608c1,1521,['77fa6aaeb6be38f36f597c0536efe2fb']
348ed970f53b87ee3a82a7b76f3bb3b3,1525,['a4c7a44f4a01601aed9499ba7f7e48e1']
b5a9392ae953ee0e8279089dfe17de4a,1526,['edbf7065648a39f509308c0c857a9cda']
adea86dc51d509ae32a529baf2126c4a,1527,['76c391687cc4cac35f401791f5e471f7']
bc89dda755b22ced51dcf3e4205795f4,1528,['431eef16a997ea51f7a240c03b1c3243']
e24e41e0b33f2977f5018b430b105e0c,1529,['a2c34989323a4435f3a8bebe22e874c2']
43401815eb3debf336162a9e6de05d93,1531,['34f9835bd44f1801295bf4e6c8990e2d']
1f4085bc5306d2d65eef6e8804990fb0,1533,['a2c34989323a4435f3a8bebe22e874c2']
b7dc7dc2227e528522a8e67ec2f8bb45,1534,['fd18cf5af07e68c9136847c24522a37f']
800d9276ec5965bc01bc02463c8de4fc,1535,['7196e35832cb2608f500b6b4d5f29a75']
5a1c5a2c95d70f1fe446a777b912e3ca,1537,['3db8679d14af9861b64981418d7eb4da']
f5c66a5cd35fc87a5ae2579f5356299a,1538,['4bd939d45edd5d544374f871acb04d78']
f5c66a5cd35fc87a5ae2579f5356299a,1539,['89b667bd128fb80a8321729609f36e94']
f5c66a5cd35fc87a5ae2579f5356299a,1541,['c91eec483ca34332be242b1e3eb3e747']
f5c66a5cd35fc87a5ae2579f5356299a,1542,['aa997c16ce6bd477d0372d1f71fa5cba']
f5c66a5cd35fc87a5ae2579f5356299a,1543,['be8a0b4947fc1eeafc218d790bedea1f']
b9fd8a563f9b8f2a67e0295d3786479c,1544,['cd33486c32b6a56aa7160895725146e5']
fedd872a83877838ce8f16d755065b59,1545,"['b133220dfa143173813bb97b58a613c1', '17f77d83166da16ed59e5a4817970e25', '2f56584c4d38cc80d4f6fe2bb40b8fbe', 'cedc9f860bbaf4e90c0bfa2811df979f']"
2cca01c18884b248bfecd36151c198a5,1548,['32077ff7a970c18f1d002deeb9fb62d0']
2be06b39d2e36e9d2ffdd9d6bb385394,1558,['f11f71b2b624b09f492b6367814bb4e9']
8978960088332a2535ecb53b3cd2c318,1559,"['9ec14738b69d4f19dc53dc90fceb9974', '054e6cb6759fab32d6239adb7ca04be2']"
d8ef5a4e3c343e5b482b0f63281fee58,1560,['6d76194629310c125d6e3713db7a8225']
62810d0acbd09a93f4815deeb01e2168,1571,['32077ff7a970c18f1d002deeb9fb62d0']
2cca01c18884b248bfecd36151c198a5,1572,['8c6f22dcc05d6eebea1ee92e37b8e338']
a32cde24c92ebb1ca52f819b41e591de,1574,['efa4a62a7b02991f757c7a81ff8b1f5a']
4d1c2c82423e3b27109cd0e93ff251eb,1575,['e0a62cb1de56dc77cf414385156a2500']
0c4bb983507af9bd1e11256984a04bec,1580,['e30743d97f2fcc032fd22adf7a5ae7f3']
2ff7f604d3f3f148ff419266b7e17285,1586,['4162997f70b9e2abaacb4b64ae1f6795']
e436d2a63de69540749aeb9c441f30bb,1588,['5b30cc12f3472dc7e0403eef3e57abf0']
938bf468bf8894c9117d45a9e07c7663,1589,['1310185fc9c4c7ec0e4a333db56288d6']
30fba6659712ee964a8ca307db0f259e,1590,['daa9bda3189b17471fec6e9afbfda2f4']
f737baebce8924a674d831ce64a76ffb,1592,['67a97b036a96a30cbe3a7657c80c891e']
443142504f9d496f14f0476e396e95d9,1598,"['4414ab0611fb61875602af320553cca2', '12e91f2ccb1397c530e2d11b6f69e75d', '93061d439248b004610c427d0bfd6bb3', '0647cf13ffebf0b5787920242c553a42', 'df517fe53d2271b86a5e3b48958d3f84', 'd80124d83a7118ee079a7792667859e0']"
8978960088332a2535ecb53b3cd2c318,1603,['6a475b11a9c410c2e78afb284f598cc2']
e72b4e71331bd76a0aec5434609b4103,1604,['932b0e079203f6cd40fa1cb3940b4dad']
97750bb8377b63e0a4e88e86d4995e4e,1605,['10261497f6b08b22f0f1d97fcd5fca8c']
6f4e36fdcac8c1243ba7e399a4887ff8,1606,['d116bf5cadcd155024f79b82a74151af']
43401815eb3debf336162a9e6de05d93,1611,['f4f542111818927f9d8f5a336621eb94']
5e7858a746d7ddde71cef6c9998214e9,1613,['16ad1207142748a2856d80e41850cb8e']
6ffb92f6ca40c3576e1a6dab48fa71da,1614,['c91b7c7359c5573ceb5501fdde512fc8']
af602a0b03ec006307d9d576817d05a2,1615,['aae13516eaa26e97bd28ba706eb0a388']
